name,full_name,position,price
Olise,Michael Olise,Midfielder,9.5
Stiller,Angelo Stiller,Midfielder,5.8
Rüdiger,Antonio Rüdiger,Defender,5.5
Raum,David Raum,Defender,4.9
Thiaw,Malick Thiaw,Defender,4.7
Tah,Jonathan Tah,Defender,5.3
Brown,Nathaniel Brown,Defender,4.7
Schlotterbeck,Nico Schlotterbeck,Defender,5.3
Anton,Waldemar Anton,Defender,3.9
Havertz,Kai Havertz,Forward,7.8
Sané,Leroy Sané,Midfielder,7.4
Undav,Deniz Undav,Forward,6.6
Woltemade,Nick Woltemade,Forward,7.2
Nübel,Alexander Nübel,Goalkeeper,4.7
Baumann,Oliver Baumann,Goalkeeper,4.3
Groß,Pascal Groß,Midfielder,5.6
Goretzka,Leon Goretzka,Midfielder,6.1
Kimmich,Joshua Kimmich,Defender,5.5
Wirtz,Florian Wirtz,Midfielder,7.5
Asare,Benjamin Asare,Goalkeeper,3.8
Woodensky Pierre,Woodensky Pierre,Midfielder,4.2
Leverton Pierre,Leverton Pierre,Midfielder,4.2
Bellegarde,Jean-Ricner Bellegarde,Midfielder,4.7
Sainté,Carl Sainté,Midfielder,4.7
Jean Jacques,Danley Jean Jacques,Midfielder,4.7
Duverne,Jean-Kévin Duverne,Defender,3.8
Arcus,Carlens Arcus,Defender,3.8
Delcroix,Hannes Delcroix,Defender,3.7
Adé,Ricardo Adé,Defender,3.5
Expérience,Martin Expérience,Defender,3.5
Paugain,Wilguens Paugain,Defender,3.5
Lacroix,Duke Lacroix,Defender,3.5
Isidor,Wilson Isidor,Forward,5
Nazon,Duckens Nazon,Forward,6
Pierrot,Frantzdy Pierrot,Forward,4.7
Etienne,Derrick Etienne,Forward,4.4
Deedson,Louicius Deedson,Forward,4.2
Fortuné,Yassin Fortuné,Forward,4.2
Casimir,Josué Casimir,Forward,4.2
Providence,Ruben Providence,Forward,4
Placide,Johny Placide,Goalkeeper,3.9
Alexandre Pierre,Alexandre Pierre,Goalkeeper,3.6
Duverger,Josué Duverger,Goalkeeper,3.5
Razzaghinia,Amir Mohammad Razzaghinia,Midfielder,4.2
Ghorbani,Mohammad Ghorbani,Midfielder,5.1
Rezaeian,Ramin Rezaeian,Defender,4
Kanani,Hossein Kanani,Defender,3.9
Mohammadi,Milad Mohammadi,Defender,3.8
Khalilzadeh,Shoja Khalilzadeh,Defender,3.8
Hajisafi,Ehsan Hajisafi,Defender,3.7
Hardani,Saleh Hardani,Defender,3.7
Nemati,Ali Nemati,Defender,3.5
Yousefi,Aria Yousefi,Defender,3.5
Eiri,Danial Eiri,Defender,3.5
Taremi,Mehdi Taremi,Forward,6.1
Jahanbakhsh,Alireza Jahanbakhsh,Forward,5.3
Ghoddos,Saman Ghoddos,Forward,4.9
Alipour,Ali Alipour,Forward,4.6
Dargahi,Dennis Dargahi,Forward,4.6
Hosseinzadeh,Amirhossein Hosseinzadeh,Forward,4.5
Beiranvand,Alireza Beiranvand,Goalkeeper,4.2
Niazmand,Payam Niazmand,Goalkeeper,3.9
Hosseini,Hossein Hosseini,Goalkeeper,3.8
Torabi,Mehdi Torabi,Midfielder,5.6
Ezatolahi,Saeid Ezatolahi,Midfielder,5.6
Mohebi,Mohammad Mohebi,Midfielder,5.9
Ghayedi,Mehdi Ghayedi,Midfielder,5.9
Zaid Ismael,Zaid Ismael Khaleel Al Dulaimi,Midfielder,4.4
Marko Farji,Marko Hussein Farji,Midfielder,4.4
Yakob,Kevin Yakob,Midfielder,5.1
Amir Al Ammari,Amir Fouad Abboud Al Ammari,Midfielder,5.3
Aimar Sher,Aimar Hazar Anwar Sher,Midfielder,5.3
Merchas Doski,Merchas Ghazi Salih Doski,Defender,3.8
Frans Putros,Frans Dhia Jirjis Haddad,Defender,3.7
Rebin Sulaka,Rebin Ghareeb Sulaka Adhamat,Defender,3.7
Hussein Ali,Hussein Haydar Ali,Defender,3.6
Zaid Tahseen,Zaid Tahseen Abd Zaid Hantoosh,Defender,3.6
Munaf Younus,Munaf Younus Hashim Al Tekreeti,Defender,3.5
Akam Hashim,Akam Hashim Rahman,Defender,3.5
Ahmed Maknzi,Ahmed Hasan Maknzi Al Deeshawee,Defender,3.5
Aymen Hussein,Aymen Hussein Ghadhban Al Mafraje,Forward,5.3
Mohanad Ali,Mohanad Ali Kadhim Al Shammari,Forward,4.9
Ali Jasim,Ali Jasim Elaibi Al Tameemi,Forward,4.9
Ali Al Hamadi,Ali Ibrahim Karim Ali Al Hamadi,Forward,4.7
Youssef Amyn,Youssef Wali Faeq Amyn,Forward,4.4
Ali Yousif,Ali Yousif Hashim Najatee,Forward,4.2
Ahmed Basil,Ahmed Basil Fadhil Al Fadhli,Goalkeeper,3.8
Fahad Talib,Fahad Talib Raheem,Goalkeeper,3.7
Zidane Iqbal,Zidane Aamar Iqbal,Midfielder,5.6
Ibrahim Bayesh,Ibrahim Bayesh Kamil Al Kaabawi,Midfielder,5.6
Sano,Kaishu Sano,Midfielder,4.9
Sugawara,Yukinari Sugawara,Defender,4.4
Watanabe,Tsuyoshi Watanabe,Defender,4.3
Ito,Hiroki Ito,Defender,3.9
Taniguchi,Shogo Taniguchi,Defender,3.9
Seko,Ayumu Seko,Defender,3.8
Suzuki,Junnosuke Suzuki,Defender,3.5
Ito,Junya Ito,Midfielder,5
Maeda,Daizen Maeda,Midfielder,5
Nakamura,Keito Nakamura,Midfielder,5.5
Ueda,Ayase Ueda,Forward,7
Ogawa,Koki Ogawa,Forward,4.9
Goto,Keisuke Goto,Forward,4.2
Shiogai,Kento Shiogai,Forward,4
Suzuki,Zion Suzuki,Goalkeeper,4.3
Osako,Keisuke Osako,Goalkeeper,4
Hayakawa,Tomoki Hayakawa,Goalkeeper,3.8
Suzuki,Yuito Suzuki,Midfielder,5
Tanaka,Ao Tanaka,Midfielder,5
Kamada,Daichi Kamada,Midfielder,5.8
Doan,Ritsu Doan,Defender,5.1
Ibrahim Sadeh,Ibrahim Mohammad Sami Sadeh,Midfielder,4.4
Mohammad Al Daoud,Mohammad Ratib Mohammad Al Daoud,Midfielder,4.7
Noor Al Rawabdeh,Noor Al Deen Mahmoud Ali Al Rawabdeh,Midfielder,4.7
Nizar Al Rashdan,Nizar Mahmoud Ahmed Al Rashdan,Midfielder,4.9
Yazan Al Arab,Yazan Mousa Mahmoud Abu Al Arab,Defender,3.7
Abdallah Nasib,Abdallah Mousa Musallam Nasib,Defender,3.6
Mohannad Abu Taha,Mohannad Mahmoud Saleh Abu Taha,Defender,3.5
Mohammad Abu Hasheesh,Mohammad Ali Hasan Abu Hasheesh,Defender,3.5
Husam Abu Al Dahab,Husam Ali Mohammad Abu Al Dahab,Defender,3.5
Saleem Obaid,Saleem Amer Saleem Obaid,Defender,3.5
Mohammad Abu Al Nadi,Mohammad Majed Jamil Abu Al Nadi,Defender,3.5
Amer Jamous,Amer Rasem Adel Jamous,Defender,3.5
Mousa Al Tamari,Mousa Mohammad Mousa Sulaiman Al Tamari,Forward,5.6
Mohammad Abu Zraiq,Mohammad Faisal Yousef Abu Zraiq,Forward,4.2
Mahmoud Al Mardi,Mahmoud Nayef Ahmad Al Mardi,Forward,4.2
