tm_id,tm_name,understat_id,understat_name
129476,Gerard Deulofeu,591,Gerard Deulofeu
117996,Phil Jones,951,Phil Jones
127128,Mathieu Deplagne,3351,Mathieu Deplagne
127142,Jonas Martin,3346,Jonas Martin
201040,Marco Benassi,1183,Marco Benassi
240197,Isaac Donkor,3882,Isaac Donkor
107574,Jonas Meffert,5346,Jonas Meffert
111036,Mehdi Abeid,4403,Mehdi Abeid
152873,Julien Vercauteren,4757,Julien Vercauteren
56100,Leon Balogun,394,Leon Balogun
57208,Felipe Saad,4705,Felipe Saad
171362,Pablo Insua,4037,Pablo Insúa
39690,Danilo Soddimo,1871,Danilo Soddimo
98322,Denis Cheryshev,2494,Denis Cheryshev
176553,Aymeric Laporte,2498,Aymeric Laporte
169511,Uros Radakovic,8028,Uros Radakovic
48003,Christian Puggioni,1220,Christian Puggioni
56889,Francesco Della Rocca,3843,Francesco Della Rocca
71905,Coke,2073,Coke
94939,Uffe Bech,361,Uffe Bech
272855,Paul Onuachu,11360,Paul Onuachu
82350,Stefan Bell,40,Stefan Bell
85864,Loris Karius,37,Loris Karius
29356,Dwight Tiendalli,4448,Dwight Tiendalli
32273,Lukasz Zaluska,351,Lukasz Zaluska
20463,Corentin Jean,3445,Corentin Jean
252755,Richairo Zivkovic,8472,Richairo Zivkovic
37124,McDonald Mariga,3839,McDonald Mariga
87463,Marcelo Larrondo,4019,Marcelo Larrondo
181136,Piotr Zielinski,1386,Piotr Zielinski
22185,Vlada Avramov,3931,Vlada Avramov
19085,Marouane Chamakh,905,Marouane Chamakh
199258,Andrea Petagna,1493,Andrea Petagna
131109,Gastón Brugman,1165,Gastón Brugman
96758,Alessandro Crescenzi,1172,Alessandro Crescenzi
77809,Julian Korb,203,Julian Korb
86848,Matthias Zimmermann,2629,Matthias Zimmermann
96167,Amin Younes,7289,Amin Younes
200174,Roberto Insigne,1617,Roberto Insigne
207006,Joshua Brenet,7026,Joshua Brenet
118303,Mehdi Zeffane,3233,Mehdi Zeffane
85543,Niklas Lomb,6440,Niklas Lomb
149446,Bryan Dabo,3340,Bryan Dabo
197747,Alessio Romagnoli,1119,Alessio Romagnoli
56817,Fabiano Santacroce,3837,Fabiano Santacroce
131978,Ross Barkley,592,Ross Barkley
60026,Ronny Philp,4352,Ronny Philp
129505,Marcello Trotta,1369,Marcello Trotta
39118,Juan Pablo Carrizo,1519,Juan Pablo Carrizo
41749,Modibo Diakité,1807,Modibo Diakité
43082,Nicola Belmonte,4000,Nicola Belmonte
27374,Sidnei,2314,Sidnei
68410,Stefanos Kapino,4255,Stefanos Kapino
182579,Karim Rekik,3388,Karim Rekik
119269,Shane Duffy,6047,Shane Duffy
164937,Clarck N'Sikulu,4716,Clarck N'Sikulu
176485,Lucas Piazón,4275,Lucas Piazon
153427,Bebé,2168,Bebé
145988,Wilfried Zaha,522,Wilfried Zaha
33065,Dean Hammond,1086,Dean Hammond
189740,Ángelo Henríquez,11676,Ángelo Henríquez
128900,Nathaniel Chalobah,1677,Nathaniel Chalobah
44948,Fernando Forestieri,1030,Fernando Forestieri
118534,Michael Keane,1653,Michael Keane
3560,Jerome Thomas,4487,Jerome Thomas
74088,Declan Rudd,799,Declan Rudd
